fine_class,support,precision,recall,f1,coarse_class
Uploading_Attack,37,0.03571428571428571,0.08108108108108109,0.049586776859504134,Web-based
XSS,118,0.11347517730496454,0.13559322033898305,0.12355212355212356,Web-based
Recon-PingSweep,66,0.14482758620689656,0.3181818181818182,0.1990521327014218,Recon
Backdoor_Malware,91,0.22641509433962265,0.26373626373626374,0.2436548223350254,Web-based
SqlInjection,172,0.2765957446808511,0.3023255813953488,0.28888888888888886,Web-based
CommandInjection,173,0.3010752688172043,0.3236994219653179,0.31197771587743733,Web-based
Recon-OSScan,2933,0.606508875739645,0.27957722468462326,0.38273045507584597,Recon
DictionaryBruteForce,394,0.4473684210526316,0.34517766497461927,0.38968481375358166,Brute Force
BrowserHijacking,178,0.638095238095238,0.37640449438202245,0.4734982332155477,Web-based
Recon-PortScan,2439,0.5337054529841133,0.5096350963509635,0.5213926174496645,Recon
DNS_Spoofing,5254,0.7105263157894737,0.596117244004568,0.6483129786793624,Spoofing
Recon-HostDiscovery,3892,0.7924769703172978,0.7957348406988695,0.7941025641025641,Recon
MITM-ArpSpoofing,9241,0.8425374910735539,0.7660426360783466,0.8024712350507284,Spoofing
BenignTraffic,32325,0.8722861150070126,0.9620108275328693,0.9149540272158881,Benign
VulnerabilityScan,1103,0.9640980735551664,0.9981867633726201,0.9808463251670378,Recon
DDoS-SlowLoris,763,0.9908854166666666,0.9973787680209698,0.9941214892227302,DDoS
DDoS-ACK_Fragmentation,8341,0.9937828790052606,0.9965231986572354,0.995151152349596,DDoS
DDoS-HTTP_Flood,804,0.9962732919254659,0.9975124378109452,0.9968924798011187,DDoS
DoS-HTTP_Flood,2062,0.997577519379845,0.998545101842871,0.998061076102763,DoS
DDoS-ICMP_Fragmentation,13291,0.9994720567161928,0.9970656835452562,0.9982674199623353,DDoS
DDoS-UDP_Fragmentation,8413,0.999523412367449,0.9971472720789255,0.9983339283589194,DDoS
Mirai-greip_flood,22001,0.9986376021798365,0.9995000227262397,0.9990686263374299,Mirai
Mirai-greeth_flood,29115,0.9995532031894419,0.998900910183754,0.9992269502327739,Mirai
DDoS-SynonymousIP_Flood,105406,0.9987962427608693,0.9997153862208983,0.9992556031274151,DDoS
DoS-SYN_Flood,60068,0.9995670346871826,0.9992841446360791,0.9994255696434369,DoS
DDoS-SYN_Flood,119572,0.9996820509387865,0.9992138627772388,0.9994479020277053,DDoS
DoS-UDP_Flood,97603,0.999661809014327,0.9994057559706157,0.9995337660940358,DoS
DoS-TCP_Flood,78916,0.9999112452294311,0.9993157281159714,0.9996133979782615,DoS
DDoS-UDP_Flood,159407,0.9996236380401579,0.9997114304892508,0.999667532337185,DDoS
DDoS-TCP_Flood,131865,0.9995375845234846,0.9999241648655822,0.9997308373233856,DDoS
DDoS-RSTFINFlood,118328,1.0,0.9995436414035562,0.9997717686241029,DDoS
DDoS-PSHACK_Flood,120402,0.9997591942140183,0.9999833889802495,0.999871279029693,DDoS
Mirai-udpplain,26156,0.9999617663926591,0.999923535708824,0.9999426506853243,Mirai
DDoS-ICMP_Flood,211967,0.9999622579199396,0.9999528228450655,0.9999575403602464,DDoS
