class,support,precision,recall,f1
BenignTraffic,32325,0.7338384872687556,0.9976798143851509,0.8456576463184393
DDoS-RSTFINFlood,118328,1.0,0.9998901358934488,0.9999450649290281
DDoS-PSHACK_Flood,120402,0.9997591942140183,0.9999833889802495,0.999871279029693
DDoS-SYN_Flood,119572,0.9986885519776135,0.9998829157327802,0.9992853769740939
DDoS-UDP_Flood,159407,0.999729901194088,0.998437960691814,0.9990835132827801
DDoS-TCP_Flood,131865,0.9998558345283892,0.9993099002767982,0.999582792860448
DDoS-ICMP_Flood,211967,0.9998490209955178,0.999768831940821,0.999808924860291
DDoS-SynonymousIP_Flood,105406,0.9943601031619321,0.9985769311044912,0.9964640559692132
DDoS-ACK_Fragmentation,8341,0.9986782023552031,0.9964033089557607,0.9975394586809098
DDoS-UDP_Fragmentation,8413,0.970533208606174,0.9865684060382741,0.9784851164161509
DDoS-ICMP_Fragmentation,13291,0.9978966346153846,0.9994733278158152,0.9986843589068902
DDoS-SlowLoris,763,1.0,0.028833551769331587,0.05605095541401274
DDoS-HTTP_Flood,804,0.9961139896373057,0.9564676616915423,0.9758883248730964
DoS-UDP_Flood,97603,0.9973020204188,0.9998360706125836,0.9985674378626173
DoS-SYN_Flood,60068,0.9988350419384903,0.9991676100419524,0.9990012983121942
DoS-TCP_Flood,78916,0.99889865053042,0.9998859546859953,0.9993920587676525
DoS-HTTP_Flood,2062,0.9995042141794744,0.9776915615906887,0.9884775680313802
Mirai-greeth_flood,29115,0.9993129744770018,0.9991756826378155,0.9992443238415828
Mirai-greip_flood,22001,0.9990002726529128,0.9992273078496432,0.9991137773536028
Mirai-udpplain,26156,1.0,0.999885303563236,0.9999426484926112
Recon-PingSweep,66,0.0,0.0,0.0
Recon-OSScan,2933,0.725925925925926,0.03341288782816229,0.06388526727509779
Recon-PortScan,2439,0.637852593266606,0.2874128741287413,0.39626907857546634
VulnerabilityScan,1103,0.9945054945054945,0.9845874886672711,0.9895216400911162
Recon-HostDiscovery,3892,0.7866038370918883,0.6004624871531347,0.6810432755354802
DNS_Spoofing,5254,0.8763750654793085,0.31842405786067757,0.4671227139466704
MITM-ArpSpoofing,9241,0.8670833333333333,0.6755762363380586,0.7594428562739493
BrowserHijacking,178,1.0,0.011235955056179775,0.022222222222222223
Backdoor_Malware,91,0.0,0.0,0.0
XSS,118,0.0,0.0,0.0
Uploading_Attack,37,0.0,0.0,0.0
SqlInjection,172,0.0,0.0,0.0
CommandInjection,173,1.0,0.12138728323699421,0.21649484536082475
DictionaryBruteForce,394,1.0,0.16243654822335024,0.2794759825327511
